metier,competence
Consultant en systèmes d'information,A.1 Systèmes d'information et alignement stratégique métier (niv. 3)
Consultant en systèmes d'information,A.3 Mise en place d'un plan d'activités (niv. 4)
Consultant en systèmes d'information,A.6 Conception des applications (niv. 1)
Consultant en systèmes d'information,A.9 Innovation (niv. 4)
Consultant en systèmes d'information,D.11 Identification des besoins (niv. 5)
Consultant en systèmes d'information,E.3 Gestion des risques (niv. 2)
Consultant en systèmes d'information,E.4 Gestion de la relation client (niv. 3)
Consultant en systèmes d'information,E.5 Amélioration des processus (niv. 3)
Consultant en systèmes d'information,E.7 Gestion des changements métier (niv. 3)
Urbaniste des systèmes d'information,A.1 Systèmes d'information et alignement stratégique métier (niv. 4)
Urbaniste des systèmes d'information,A.5 Conception de l'architecture (niv. 4)
Urbaniste des systèmes d'information,A.7 Veille technologique (niv. 4)
Urbaniste des systèmes d'information,A.9 Innovation (niv. 4)
Urbaniste des systèmes d'information,D.11 Identification des besoins (niv. 5)
Urbaniste des systèmes d'information,E.4 Gestion de la relation client (niv. 3)
Urbaniste des systèmes d'information,E.5 Amélioration des processus (niv. 3)
Urbaniste des systèmes d'information,E.7 Gestion des changements métier (niv. 3)
Urbaniste des systèmes d'information,E.8 Gestion de la sécurité de l'information (niv. 2)
Urbaniste des systèmes d'information,E.9 Gouvernance des systèmes d'information (niv. 3)
Responsable du système d'information « métier »,A.1 Systèmes d'information et alignement stratégique métier (niv. 4)
Responsable du système d'information « métier »,A.3 Mise en place d'un plan d'activités (niv. 4)
Responsable du système d'information « métier »,D.9 Développement du personnel (niv. 4)
Responsable du système d'information « métier »,D.11 Identification des besoins (niv. 5)
Responsable du système d'information « métier »,E.2 Gestion des projets et du portefeuille de projets (niv. 4)
Responsable du système d'information « métier »,E.3 Gestion des risques (niv. 3)
Responsable du système d'information « métier »,E.4 Gestion de la relation client (niv. 4)
Responsable du système d'information « métier »,E.5 Amélioration des processus (niv. 3)
Responsable du système d'information « métier »,E.6 Gestion de la qualité des TIC (niv. 2)
Responsable du système d'information « métier »,E.9 Gouvernance des systèmes d'information (niv. 5)
Gestionnaire d'applications,A.6 Conception des applications (niv. 2)
Gestionnaire d'applications,B.3 Tests (niv. 4)
Gestionnaire d'applications,B.5 Production de la documentation (niv. 3)
Gestionnaire d'applications,C.1 Support utilisateur (niv. 3)
Gestionnaire d'applications,C.2 Support aux changements (niv. 3)
Gestionnaire d'applications,C.3 Fourniture de services (niv. 2)
Gestionnaire d'applications,C.4 Gestion des problèmes (niv. 4)
Gestionnaire d'applications,D.11 Identification des besoins (niv. 3)
Gestionnaire d'applications,E.3 Gestion des risques (niv. 2)
Gestionnaire d'applications,E.6 Gestion de la qualité des TIC (niv. 3)
Chargé d'affaires internes,A.2 Gestion des niveaux de service (niv. 3)
Chargé d'affaires internes,D.5 Développement des ventes (niv. 3)
Chargé d'affaires internes,D.8 Gestion des contrats (niv. 3)
Chargé d'affaires internes,D.10 Gestion de l'information et de la connaissance (niv. 3)
Chargé d'affaires internes,D.11 Identification des besoins (niv. 5)
Chargé d'affaires internes,E.4 Gestion de la relation client (niv. 4)
Chargé d'affaires internes,E.6 Gestion de la qualité des TIC (niv. 3)
Architecte d'entreprise,A.1 Systèmes d'information et alignement stratégique métier (niv. 5)
Architecte d'entreprise,A.3 Mise en place d'un plan d'activités (niv. 5)
Architecte d'entreprise,A.5 Conception de l'architecture (niv. 5)
Architecte d'entreprise,A.7 Veille technologique (niv. 5)
Architecte d'entreprise,A.9 Innovation (niv. 4)
Architecte d'entreprise,D.2 Développement d'une stratégie pour la qualité des TIC (niv. 4)
Architecte d'entreprise,D.11 Identification des besoins (niv. 5)
Architecte d'entreprise,E.4 Gestion de la relation client (niv. 4)
Architecte d'entreprise,E.5 Amélioration des processus (niv. 3)
Architecte d'entreprise,E.9 Gouvernance des systèmes d'information (niv. 5)
